Country,Latitude,Longitude
Iceland,64.963051,-19.020835
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Jersey,49.214439,-2.13125
Jordan,30.585164,36.238414
Japan,36.204824,138.252924
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kyrgyzstan,41.20438,74.766098
Cambodia,12.565679,104.990963
Kiribati,-3.370417,-168.734039
Saint Kitts and Nevis,17.357822,-62.782998
"Korea, Republic of (South)",35.907757,127.766922
South Korea,35.907757,127.766922
"Korea, Republic of",35.907757,127.766922
Kuwait,29.31166,47.481766
Laos,19.85627,102.495496
Lao People's Democratic Republic,19.85627,102.495496
Lebanon,33.854721,35.862285
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Saint Lucia,13.909444,-60.978893
Liechtenstein,47.166,9.555373
Sri Lanka,7.873054,80.771797
Ceylon,7.873054,80.771797
Lesotho,-29.609988,28.233608
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Latvia,56.879635,24.603189
Macau,22.198745,113.543873
Macao,22.198745,113.543873
Saint Martin (French part),18.082502,-63.051991
Morocco,31.791702,-7.09262
Monaco,43.750298,7.412841
Moldova,47.411631,28.369885
"Moldova, Republic of",47.411631,28.369885
Madagascar,-18.766947,46.869107
Maldives,3.202778,73.22068
Mexico,23.634501,-102.552784
Marshall Islands,7.131474,171.184478
North Macedonia,41.608635,21.745275
Macedonia [FYROM],41.608635,21.745275
Mali,17.570692,-3.996166
Malta,35.937496,14.375416
Montenegro,42.708678,19.37439
Mongolia,46.862496,103.846656
Northern Mariana Islands,17.33083,145.38469
Mozambique,-18.665695,35.529562
Mauritania,21.00789,-10.940835
Montserrat,16.742498,-62.187366
Martinique,14.641528,-61.024174
Mauritius,-20.348404,57.552152
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Mayotte,-12.8275,45.166244
Namibia,-22.95764,18.49041
New Caledonia,-20.904305,165.618042
Niger,17.607789,8.081666
Norfolk Island,-29.040835,167.954712
Nigeria,9.081999,8.675277
Nicaragua,12.865416,-85.207229
Niue,-19.054445,-169.867233
Netherlands,52.132633,5.291266
Norway,60.472024,8.468946
Nepal,28.394857,84.124008
Nauru,-0.522778,166.931503
New Zealand,-40.900557,174.885971
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Panama,8.537981,-80.782127
Pitcairn Islands,-24.703615,-127.439308
Pitcairn,-24.703615,-127.439308
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Palau,7.51498,134.58252
Papua New Guinea,-6.314993,143.95555
Poland,51.919438,19.145136
Puerto Rico,18.220833,-66.590149
North Korea,40.339852,127.510093
Korea (Democratic People's Republic of),40.339852,127.510093
Portugal,39.399872,-8.224454
Paraguay,-23.442503,-58.443832
"Palestine, State of",31.952162,35.233154
Palestinian Territories,31.952162,35.233154
French Polynesia,-17.679742,-149.406843
Qatar,25.354826,51.183884
Réunion,-21.115141,55.536384
Rhodesia,-19.015438,29.154857
Southern Rhodesia,-19.015438,29.154857
Zimbabwe,-19.015438,29.154857
Romania,45.943161,24.96676
Russian Federation,61.52401,105.318756
Russia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Saudi Arabia,23.885942,45.079162
Serbia and Montenegro,44.816667,20.466667
Sudan,12.862807,30.217636
Senegal,14.497401,-14.452362
Singapore,1.352083,103.819836
South Georgia and the South Sandwich Islands,-54.429579,-36.587909
"Saint Helena, Ascension and Tristan da Cunha",-24.143474,-10.030696
Saint Helena,-24.143474,-10.030696
Svalbard and Jan Mayen,77.553604,23.670272
Solomon Islands,-9.64571,160.156194
Sierra Leone,8.460555,-11.779889
El Salvador,13.794185,-88.89653
San Marino,43.94236,12.457777
Somalia,5.152149,46.199616
Saint Pierre and Miquelon,46.941936,-56.27111
Serbia,44.016521,21.005859
South Sudan,8,30
São Tomé and Príncipe,0.18636,6.613081
Sao Tome and Principe,0.18636,6.613081
Soviet Union,61.52401,105.318756
Suriname,3.919305,-56.027783
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
Sweden,60.128161,18.643501
Eswatini,-26.522503,31.465866
Swaziland,-26.522503,31.465866
Sint Maarten (Dutch part),18.04258,-63.056017
Seychelles,-4.679574,55.491977
Syria,34.802075,38.996815
Syrian Arab Republic,34.802075,38.996815
Turks and Caicos Islands,21.694025,-71.797928
Chad,15.454166,18.732207
Togo,8.619543,0.824782
Thailand,15.870032,100.992541
Tajikistan,38.861034,71.276093
Tokelau,-8.967363,-171.855881
Turkmenistan,38.969719,59.556278
Timor-Leste,-8.874217,125.727539
Tonga,-21.178986,-175.198242
Trinidad and Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Tuvalu,-7.109535,177.64933
Taiwan,23.69781,120.960515
"Taiwan, Province of China",23.69781,120.960515
Tanzania,-6.369028,34.888822
"Tanzania, United Republic of",-6.369028,34.888822
Uganda,1.373333,32.290275
Ukraine,48.379433,31.16558
Uruguay,-32.522779,-55.765835
United States of America,37.09024,-95.712891
United States,37.09024,-95.712891
Uzbekistan,41.377491,64.585262
Vatican City,41.902916,12.453389
Vatican City State,41.902916,12.453389
Holy See,41.902916,12.453389
Saint Vincent and the Grenadines,12.984305,-61.287228
North Vietnam,21.028333,105.854167
"Viet-Nam, Democratic Republic of",21.028333,105.854167
Venezuela,6.42375,-66.58973
Venezuela (Bolivarian Republic of),6.42375,-66.58973
British Virgin Islands,18.420695,-64.639968
Virgin Islands (British),18.420695,-64.639968
U.S. Virgin Islands,18.335765,-64.896335
United States Virgin Islands,18.335765,-64.896335
Virgin Islands (U.S.),18.335765,-64.896335
Viet Nam,14.058324,108.277199
Vietnam,14.058324,108.277199
Vanuatu,-15.376706,166.959158
Wallis and Futuna,-13.768752,-177.156097
Samoa,-13.759029,-172.104629
North Yemen,15.354722,44.206667
Yemen,15.552727,48.516388
South Yemen,12.8,45.033333
Yugoslavia,44.816667,20.45
"Yugoslavia, Federal Republic of",44.816667,20.45
South Africa,-30.559482,22.937506
Zambia,-13.133897,27.849332
Kosovo,42.602636,20.902977
British Honduras,17.189877,-88.49765
North Borneo,5.25,117
Northern Rhodesia,-13.133897,27.849332
 Australasia,-41,124
 Australasia,-41,124
 Bohemia,49.83,14.33
Palestine,31.9522,35.2332
